mode: set
sms/middleware/middleware.go:19.54,20.54 1 1
sms/handlers/auth_handler.go:66.61,69.3 2 1
sms/handlers/auth_handler.go:70.2,70.61 1 1
sms/handlers/auth_handler.go:70.61,73.3 2 1
sms/handlers/auth_handler.go:75.2,76.16 2 1
sms/handlers/auth_handler.go:76.16,79.3 2 1
sms/handlers/auth_handler.go:81.2,82.16 2 1
sms/handlers/auth_handler.go:82.16,85.3 2 0
sms/handlers/auth_handler.go:87.2,87.74 1 1
sms/handlers/grades_handler.go:29.63,31.2 1 1
sms/handlers/grades_handler.go:33.83,34.32 1 1
sms/handlers/grades_handler.go:34.32,37.3 2 1
sms/handlers/grades_handler.go:38.2,39.37 2 1
sms/handlers/grades_handler.go:39.37,42.3 2 1
sms/handlers/grades_handler.go:43.2,45.16 3 1
sms/handlers/grades_handler.go:45.16,48.3 2 1
sms/handlers/grades_handler.go:49.2,49.19 1 1
sms/handlers/grades_handler.go:49.19,52.3 2 1
sms/handlers/grades_handler.go:54.2,55.16 2 1
sms/handlers/grades_handler.go:55.16,58.3 2 1
sms/handlers/grades_handler.go:59.2,59.58 1 1
sms/handlers/grades_handler.go:62.76,64.37 2 1
sms/handlers/grades_handler.go:64.37,67.3 2 1
sms/handlers/grades_handler.go:68.2,71.16 3 1
sms/handlers/grades_handler.go:71.16,74.3 2 1
sms/handlers/grades_handler.go:76.2,78.16 3 1
sms/handlers/grades_handler.go:78.16,81.3 2 1
sms/handlers/grades_handler.go:83.2,83.19 1 1
sms/handlers/grades_handler.go:83.19,86.3 2 1
sms/handlers/grades_handler.go:88.2,89.16 2 1
sms/handlers/grades_handler.go:89.16,92.3 2 1
sms/handlers/grades_handler.go:93.2,93.58 1 1
sms/handlers/grades_handler.go:96.74,97.33 1 1
sms/handlers/grades_handler.go:97.33,100.3 2 1
sms/handlers/grades_handler.go:101.2,102.37 2 1
sms/handlers/grades_handler.go:102.37,105.3 2 1
sms/handlers/grades_handler.go:106.2,107.61 2 1
sms/handlers/grades_handler.go:107.61,110.3 2 1
sms/handlers/grades_handler.go:111.2,112.16 2 1
sms/handlers/grades_handler.go:112.16,115.3 2 1
sms/handlers/grades_handler.go:116.2,116.79 1 1
sms/handlers/grades_handler.go:119.77,120.34 1 1
sms/handlers/grades_handler.go:120.34,123.3 2 1
sms/handlers/grades_handler.go:124.2,125.37 2 1
sms/handlers/grades_handler.go:125.37,128.3 2 1
sms/handlers/grades_handler.go:129.2,130.61 2 1
sms/handlers/grades_handler.go:130.61,133.3 2 1
sms/handlers/grades_handler.go:134.2,135.16 2 1
sms/handlers/grades_handler.go:135.16,138.3 2 1
sms/handlers/grades_handler.go:139.2,139.69 1 1
sms/handlers/students_handler.go:37.69,39.2 1 1
sms/handlers/students_handler.go:41.78,42.33 1 1
sms/handlers/students_handler.go:42.33,45.3 2 0
sms/handlers/students_handler.go:47.2,48.21 2 1
sms/handlers/students_handler.go:48.21,51.3 2 1
sms/handlers/students_handler.go:53.2,54.61 2 1
sms/handlers/students_handler.go:54.61,57.3 2 1
sms/handlers/students_handler.go:60.2,61.16 2 1
sms/handlers/students_handler.go:61.16,64.3 2 1
sms/handlers/students_handler.go:66.2,75.78 2 1
sms/handlers/students_handler.go:78.81,79.34 1 1
sms/handlers/students_handler.go:79.34,82.3 2 0
sms/handlers/students_handler.go:84.2,85.35 2 1
sms/handlers/students_handler.go:85.35,88.3 2 1
sms/handlers/students_handler.go:89.2,90.21 2 1
sms/handlers/students_handler.go:90.21,93.3 2 1
sms/handlers/students_handler.go:94.2,95.71 2 1
sms/handlers/students_handler.go:95.71,98.3 2 1
sms/handlers/students_handler.go:99.2,100.16 2 1
sms/handlers/students_handler.go:100.16,103.3 2 1
sms/handlers/students_handler.go:104.2,104.70 1 1
sms/repository/studentRepository/student_repository.go:12.46,14.2 1 1
sms/repository/studentRepository/student_repository.go:16.103,19.16 3 1
sms/repository/studentRepository/student_repository.go:19.16,21.3 1 0
sms/repository/studentRepository/student_repository.go:22.2,25.18 3 1
sms/repository/studentRepository/student_repository.go:25.18,27.98 2 1
sms/repository/studentRepository/student_repository.go:27.98,29.4 1 0
sms/repository/studentRepository/student_repository.go:30.3,30.33 1 1
sms/repository/studentRepository/student_repository.go:32.2,32.22 1 1
sms/repository/studentRepository/student_repository.go:35.95,38.2 2 1
sms/repository/studentRepository/student_repository.go:40.103,44.2 3 1
sms/repository/studentRepository/student_repository.go:46.83,51.16 5 1
sms/repository/studentRepository/student_repository.go:51.16,52.27 1 0
sms/repository/studentRepository/student_repository.go:52.27,54.4 1 0
sms/repository/studentRepository/student_repository.go:55.3,55.18 1 0
sms/repository/studentRepository/student_repository.go:57.2,57.16 1 1
sms/repository/studentRepository/student_repository.go:59.92,64.16 5 1
sms/repository/studentRepository/student_repository.go:64.16,65.27 1 0
sms/repository/studentRepository/student_repository.go:65.27,67.4 1 0
sms/repository/studentRepository/student_repository.go:68.3,68.18 1 0
sms/repository/studentRepository/student_repository.go:70.2,70.16 1 1
sms/main.go:9.13,11.18 2 0
sms/main.go:11.18,13.3 1 0
sms/main.go:14.2,14.15 1 0
sms/main.go:16.49,18.16 2 0
sms/main.go:18.16,20.3 1 0
sms/main.go:21.2,21.16 1 0
sms/repository/userRepository/user_repository.go:12.40,14.2 1 1
sms/repository/userRepository/user_repository.go:16.76,20.2 3 1
sms/repository/userRepository/user_repository.go:22.74,27.16 5 1
sms/repository/userRepository/user_repository.go:27.16,28.27 1 0
sms/repository/userRepository/user_repository.go:28.27,30.4 1 0
sms/repository/userRepository/user_repository.go:31.3,31.18 1 0
sms/repository/userRepository/user_repository.go:33.2,33.19 1 1
sms/utils/custom_response.go:14.73,21.56 4 1
sms/utils/custom_response.go:21.56,23.3 1 0
sms/utils/custom_response.go:26.95,28.20 2 0
sms/utils/custom_response.go:28.20,34.3 1 0
sms/utils/custom_response.go:34.8,39.3 1 0
sms/utils/custom_response.go:40.2,42.56 3 0
sms/utils/custom_response.go:42.56,44.3 1 0
sms/utils/custom_response.go:48.90,56.56 4 1
sms/utils/custom_response.go:56.56,58.3 1 0
sms/app/app.go:17.45,54.2 19 1
sms/app/app.go:56.24,62.58 3 0
sms/app/app.go:62.58,64.3 1 0
sms/services/auth_service.go:19.69,21.2 1 1
sms/services/auth_service.go:23.103,26.31 2 1
sms/services/auth_service.go:26.31,28.3 1 1
sms/services/auth_service.go:29.2,29.16 1 1
sms/services/auth_service.go:29.16,31.3 1 0
sms/services/auth_service.go:33.2,33.95 1 1
sms/services/auth_service.go:33.95,35.3 1 1
sms/services/auth_service.go:37.2,37.19 1 1
sms/services/auth_service.go:40.69,43.2 2 1
sms/services/auth_service.go:45.55,48.2 2 1
sms/services/auth_service.go:50.61,60.2 2 1
sms/services/auth_service.go:62.102,63.28 1 1
sms/services/auth_service.go:63.28,65.3 1 0
sms/services/auth_service.go:67.2,67.58 1 1
sms/services/auth_service.go:67.58,69.3 1 1
sms/services/auth_service.go:71.2,71.34 1 1
sms/services/auth_service.go:71.34,73.3 1 0
sms/services/auth_service.go:75.2,76.16 2 1
sms/services/auth_service.go:76.16,78.3 1 0
sms/services/auth_service.go:80.2,82.16 3 1
sms/services/auth_service.go:82.16,84.3 1 0
sms/services/auth_service.go:86.2,86.68 1 1
sms/services/grade_service.go:12.73,14.2 1 1
sms/services/grade_service.go:16.90,18.16 2 1
sms/services/grade_service.go:18.16,20.3 1 1
sms/services/grade_service.go:21.2,21.28 1 1
sms/services/grade_service.go:24.117,26.16 2 1
sms/services/grade_service.go:26.16,28.3 1 1
sms/services/grade_service.go:29.2,29.21 1 1
sms/services/grade_service.go:32.102,33.15 1 1
sms/services/grade_service.go:33.15,35.3 1 1
sms/services/grade_service.go:36.2,37.12 2 1
sms/services/grade_service.go:40.93,41.18 1 1
sms/services/grade_service.go:41.18,43.3 1 1
sms/services/grade_service.go:44.2,45.12 2 1
sms/services/jwt.go:19.62,31.2 3 1
sms/services/jwt.go:33.55,36.93 2 1
sms/services/jwt.go:36.93,38.58 1 1
sms/services/jwt.go:38.58,40.4 1 0
sms/services/jwt.go:41.3,41.24 1 1
sms/services/jwt.go:43.2,43.16 1 1
sms/services/jwt.go:43.16,45.3 1 1
sms/services/jwt.go:47.2,47.18 1 1
sms/services/jwt.go:47.18,49.3 1 0
sms/services/jwt.go:51.2,51.20 1 1
sms/services/student_service.go:16.74,18.2 1 1
sms/services/student_service.go:20.115,23.20 2 1
sms/services/student_service.go:23.20,25.3 1 1
sms/services/student_service.go:27.2,27.16 1 1
sms/services/student_service.go:27.16,29.3 1 1
sms/services/student_service.go:30.2,32.16 3 1
sms/services/student_service.go:32.16,34.3 1 1
sms/services/student_service.go:35.2,42.25 2 1
sms/services/student_service.go:45.106,48.16 2 1
sms/services/student_service.go:48.16,50.3 1 1
sms/services/student_service.go:51.2,51.22 1 1
sms/services/student_service.go:51.22,53.3 1 0
sms/services/student_service.go:54.2,54.19 1 1
sms/services/student_service.go:54.19,56.3 1 0
sms/services/student_service.go:57.2,57.19 1 1
sms/services/student_service.go:57.19,59.3 1 0
sms/services/student_service.go:61.2,62.12 2 1
sms/mocks/auth_service_mock.go:33.69,37.2 3 0
sms/mocks/auth_service_mock.go:40.67,42.2 1 0
sms/mocks/auth_service_mock.go:45.107,51.2 5 0
sms/mocks/auth_service_mock.go:54.93,57.2 2 0
sms/mocks/auth_service_mock.go:60.108,66.2 5 0
sms/mocks/auth_service_mock.go:69.94,72.2 2 0
sms/mocks/grade_repo_mock.go:32.77,36.2 3 0
sms/mocks/grade_repo_mock.go:39.75,41.2 1 0
sms/mocks/grade_repo_mock.go:44.98,49.2 4 0
sms/mocks/grade_repo_mock.go:52.111,55.2 2 0
sms/mocks/grade_repo_mock.go:58.97,64.2 5 0
sms/mocks/grade_repo_mock.go:67.99,70.2 2 0
sms/mocks/grade_repo_mock.go:73.95,79.2 5 0
sms/mocks/grade_repo_mock.go:82.97,85.2 2 0
sms/mocks/grade_repo_mock.go:88.97,94.2 5 0
sms/mocks/grade_repo_mock.go:97.101,100.2 2 0
sms/mocks/grade_repo_mock.go:103.120,109.2 5 0
sms/mocks/grade_repo_mock.go:112.97,115.2 2 0
sms/mocks/grade_repo_mock.go:118.93,123.2 4 0
sms/mocks/grade_repo_mock.go:126.106,129.2 2 0
sms/mocks/grade_service_mock.go:32.71,36.2 3 0
sms/mocks/grade_service_mock.go:39.69,41.2 1 0
sms/mocks/grade_service_mock.go:44.95,49.2 4 0
sms/mocks/grade_service_mock.go:52.108,55.2 2 0
sms/mocks/grade_service_mock.go:58.94,64.2 5 0
sms/mocks/grade_service_mock.go:67.96,70.2 2 0
sms/mocks/grade_service_mock.go:73.117,79.2 5 0
sms/mocks/grade_service_mock.go:82.94,85.2 2 0
sms/mocks/grade_service_mock.go:88.90,93.2 4 0
sms/mocks/grade_service_mock.go:96.103,99.2 2 0
sms/mocks/student_repo_mock.go:32.81,36.2 3 0
sms/mocks/student_repo_mock.go:39.79,41.2 1 0
sms/mocks/student_repo_mock.go:44.105,49.2 4 0
sms/mocks/student_repo_mock.go:52.118,55.2 2 0
sms/mocks/student_repo_mock.go:58.113,64.2 5 0
sms/mocks/student_repo_mock.go:67.105,70.2 2 0
sms/mocks/student_repo_mock.go:73.93,79.2 5 0
sms/mocks/student_repo_mock.go:82.90,85.2 2 0
sms/mocks/student_repo_mock.go:88.102,94.2 5 0
sms/mocks/student_repo_mock.go:97.99,100.2 2 0
sms/mocks/student_repo_mock.go:103.113,108.2 4 0
sms/mocks/student_repo_mock.go:111.126,114.2 2 0
sms/mocks/student_service_mock.go:32.75,36.2 3 0
sms/mocks/student_service_mock.go:39.73,41.2 1 0
sms/mocks/student_service_mock.go:44.119,50.2 5 0
sms/mocks/student_service_mock.go:53.112,56.2 2 0
sms/mocks/student_service_mock.go:59.110,64.2 4 0
sms/mocks/student_service_mock.go:67.123,70.2 2 0
sms/mocks/user_repo_mock.go:26.75,30.2 3 0
sms/mocks/user_repo_mock.go:33.73,35.2 1 0
sms/mocks/user_repo_mock.go:38.79,43.2 4 0
sms/mocks/user_repo_mock.go:46.104,49.2 2 0
sms/mocks/user_repo_mock.go:52.84,58.2 5 0
sms/mocks/user_repo_mock.go:61.93,64.2 2 0
